No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number
199,Ferrohemoglobin adduct detecting method and application for evaluating in-body exposure of glycidol and glycidyl ester,"CHEN XINYU 
JIA WEI 
ZHANG YU",UNIV ZHEJIANG,CN110308218A,2019-05-31,"G01N30/02 
G01N30/06 
G01N30/60 
G01N30/86","G01N30/02 (CN) 
G01N30/06 (CN) 
G01N30/60 (CN) 
G01N30/8606 (CN) 
G01N2030/027 (CN) 
G01N2030/062 (CN)",2019-10-08,2019-10-08,68075568
200,METHOD FOR PREPARING GLYCIDOL THROUGH SUCCESSIVE CATALYTIC REACTION,"AHN BYOUNG SUNG [KR] 
CHOI JI SIK [KR] 
JAE JUNG HO [KR] 
LEE HYUN JOO [KR] 
LEE SANG DEUK [KR]",KOREA INST SCI & TECH [KR],KR101602428B1,2014-02-27,"C07D301/12 
C07D303/14","C07D301/02 (EP,US) 
C07D303/14 (EP) 
C07D317/36 (US)",2015-09-04,2015-08-27,53881573
201,POLYURETHANE UREA-CONTAINING ADIPIC ACID DIHYDRAZIDE WHERE ACTIVE HYDROGENS REACT WITH THE EPOXY GROUP FOUND ON GLYCIDOL TO FORM A DIOL,EDWARDS PETER ANTHONY [US],LAKE REGION MFG INC [US],US2020131399A1,2018-10-29,"C08G18/24 
C08G18/32 
C08G18/34 
C08G18/38 
C08G18/48 
C08G18/58 
C08G18/75 
C08G18/76 
C09D175/04","C08G18/0823 (EP) 
C08G18/246 (EP,US) 
C08G18/2845 (EP) 
C08G18/3203 (US) 
C08G18/3262 (EP) 
C08G18/348 (EP,US) 
C08G18/3834 (US) 
C08G18/4018 (EP) 
C08G18/4238 (EP) 
C08G18/48 (US) 
C08G18/4833 (EP) 
C08G18/4854 (EP) 
C08G18/581 (US) 
C08G18/6692 (EP) 
C08G18/757 (US) 
C08G18/7621 (US) 
C08G18/7671 (EP) 
C09D175/04 (EP,US)",2020-04-30,2020-04-30,70328282
202,POLYCONDENSATION OF GLYCIDOL WITH A-DIOLS,,OREAL,GB1343502A,1970-05-12,"A61K7/00 
C07C149/18 
C07C43/04 
C07D1/18 
C11D1/72 
D06P3/08 
B01F17/00 
B01F17/42 
C07C41/00 
C07C43/02 
C07C43/04 
C07C43/11 
C07C43/13 
C07C43/174 
C07C43/178 
C08G65/26 
C08G65/28 
C08G75/02 
C08G75/12 
C08G75/18 
C08L71/02 
C11D1/72 
C11D3/37","A61K8/39 (EP) 
A61Q5/02 (EP) 
C07C323/00 (EP) 
C07C43/1745 (EP) 
C07C43/1785 (EP) 
C08G65/26 (EP) 
C08G75/12 (EP) 
C08G75/18 (EP) 
C08L71/02 (EP) 
C11D1/72 (EP) 
C11D3/3757 (EP) 
A61Q5/065 (EP) 
Y10S514/941 (EP) 
Y10S514/975 (EP)",1974-01-10,1971-11-12,19726354
203,Process of industrialized preparing allyl glycidol ether,TANG XINHUA FAN [CN],FAN FUDING [CN],CN100999507A,2006-12-28,"C07D301/26 
C07D303/22",,2007-07-18,2007-07-18,38258343
204,METHODS OF MATERIAL HYDROPHILIZATION BY GLYCIDOL-CONTAINING SILOXANES,"IZMAYLOV BORIS ALEXANDROVICH [KR] 
MARKOVA GALI DMITRIEVNA [RU] 
VASNEV VALERY ALEXANDROVICH [RU] 
BARANOV OLEG VALERIEVICH [RU] 
JUNG WON-CHEOL [KR] 
RODLOVSKAYA ELENA NIKOLAEVNA [RU] 
IZMAILOV BORIS ALEXANDROVICH [KR] 
MARKOVA GALY DMITRIEVNA [RU] 
VASNEV VALERI ALEXANDROVICH [RU]",SAMSUNG ELECTRONICS CO LTD [KR],US2013149545A1,2011-12-07,"C09D7/00 
B05D1/36 
B05D5/00 
C09D183/08 
C08G77/04 
C08G77/26","B05D1/36 (US) 
B05D5/00 (US) 
C09D183/08 (EP,US) 
C09D5/00 (US) 
C09D7/00 (US) 
C08G77/045 (EP,US) 
C08G77/26 (EP,US) 
Y10T428/31612 (EP,US) 
Y10T428/31663 (EP,US) 
C09D183/08, C08K5/1515, INV (EP,US)      ",2013-06-13,2013-06-13,48572244
205,TREATMENT OF TEXTILES WITH GLYCIDOL-MODIFIED POLYURETHANES,"JONES C 
PITTMAN A 
WASLEY W",US AGRICULTURE,US3814578A,1972-01-14,"D06M15/52 
D06M3/08 
C08G18/10 
D06M15/564","C08G18/10 (EP) 
D06M15/564 (EP) 
C08G18/10, C08G18/2845, INV (EP)      ",1974-06-04,1974-06-04,22813194
206,METHOD OF MAKING GLYCIDOL AND GLYCIDOL TYPE COMPOUNDS FROM  CYANAOALKYL EPOXY ETHERS,,UNIROYAL INC,GB1419142A,1972-02-18,"C07D303/14 
B01J31/00 
C07B61/00 
C07D303/18 
C07D303/22",C07D303/22 (EP),1975-12-24,1973-08-16,26921575
207,Process for the preparation of glycidol,"FAJDEK ANNA [PL] 
WROBLEWSKA AGNIESZKA [PL]",ZACHODNIOPOMORSKI UNIV T W SZCZECINIE [PL],PL213815B1,2010-03-24,"B01J21/06 
C07B41/04 
C07D301/12 
C07D303/14",,2011-09-26,2011-09-26,44675240
208,VEHICLE FOR MEDICINAL AGENT,"ISOZAKI MASASHI 
KOIWAI KAZUMICHI 
KONO KENJI 
SAKAGUCHI NAOKI",TERUMO CORP,JP2005008623A,2003-05-27,"A61K31/7088 
A61K47/34 
A61K47/44 
A61K47/48 
A61K9/107 
A61K9/127 
A61K9/16 
A61K9/51 
A61K31/7088 
A61K47/34 
A61K47/44 
A61K47/48 
A61K9/107 
A61K9/127 
A61K9/16 
A61K9/51",,2005-01-13,2005-01-13,34106690
209,ELECTRICALLY STABLE CONDUCTIVE FILLER-SU8-GLYCIDOL POLYMER NANOCOMPOSITE ELEMENT HAVING PIEZORESISTIVE OR PIEZOELECTRIC PROPERTIES AND METHOD FOR FABRICATING THE SAME,"PANDEY SWAPNIL [IN] 
RAO VALIPE RAMGOPAL [IN] 
VINCHURKAR MADHURI SOMNATH [IN]",INDIAN INST TECHNOLOGY BOMBAY [IN],IN3848MU2013A,2013-12-09,"C09J9/02 
H01B1/22",,2015-08-14,2015-08-14,54398086
210,Process and equipment for producing glycerol esters of fatty acids,"MOULOUNGUI ZEPHIRIN [FR] 
GACHEN CHRISTIAN [FR] 
GASET ANTOINE [FR] 
JAMET JEAN-PAUL [FR] 
PEYROU GILLES [FR] 
RAKOTONDRAZAFY VONY [FR] 
STAAT FREDERIC [FR] 
MOULOUNGUT ZEPHIRIN [FR]",ORGANISATION NATIONALE INTERPR [FR],EP0694525A1,1994-07-28,"B01J31/08 
C07C67/26 
C07C69/30 
C07C69/52 
B01J31/08 
C07C67/26","B01J31/08 (EP) 
C07C67/26 (EP) 
C07C67/26, C07C69/30, INV (EP)       
C07C67/26, C07C69/52, INV (EP)      ",1996-01-31,1996-01-31,9465949
211,Process for the preparation of copolymers containing hydroxyl groups and the use thereof,"MONDT JOSEF 
RINNO HELMUT",HOECHST AG,US4357455A,1980-05-24,"C08F220/28 
C08F246/00 
C08F8/14 
C08G18/62 
C08F2/00 
C08F2/06 
C08F220/00 
C08F220/04 
C08F246/00 
C08F8/00 
C08F8/14",C08F8/14 (EP),1982-11-02,1981-12-02,6103252
212,Synthesis method of glycerol carbonate,"JIANG PENGFEI 
QU YUANYUAN 
YAN QI 
YU KAI",SHENYANG GOLD JYOUKI TECH CO LTD,CN107226802A,2016-10-12,C07D317/36,"C07D317/36 (CN) 
Y02P20/55 (EP)",2017-10-03,2017-10-03,59932059
213,"PRODUCTION OF OPTICALLY ACTIVE 1,2-ALKANEDIOL","HASEGAWA JUNZO 
KUTSUKI HIDETOSHI 
MAEMOTO SHUNICHI 
OHASHI TAKEHISA",KANEGAFUCHI CHEMICAL IND,JP2571081B2,1987-12-03,"C07C37/11 
B01J27/122 
C07B41/02 
C07B61/00 
C07C31/20 
B01J27/122 
C07B31/00 
C07B41/02 
C07B61/00 
C07C27/00 
C07C31/20 
C07C37/11 
C07C67/00",,1989-06-08,1989-06-08,17958671
214,"Method for detecting N,N-diglycidyl-4-glycidol-oxo-aniline in plastic product","LI ZHIWEI 
LIN LIANFENG 
WANG HUA 
YAN HONGLIAN","GRG METROLOGY & TEST CHONGQING CO LTD 
GUANGZHOU GRG METROLOGY & TEST CO LTD",CN108195958A,2017-12-25,"G01N30/02 
G01N30/06","G01N30/02 (CN) 
G01N30/06 (CN) 
G01N2030/062 (CN)",2018-06-22,2018-06-22,62584036
215,Method for obtaining allyl glycidol ether,"DREWNOWSKA EWA [PL] 
WR�BLEWSKA AGNIESZKA [PL]","ZACHODNIOPOMORSKI UNIV TECH W SZCZECINIE [PL] 
ZACHODNIOPOMORSKI UNIV TECHNOLOGICZNY W SZCZECINIE [PL]",PL228409B1,2015-08-24,"B01J21/06 
C07D301/19 
C07D303/04",,2017-02-27,2017-02-27,58092031
216,Method for preparing glycidol ether terminated propenol polyoxyethylene ether,"PENGJUN TAO 
WEISONG WANG 
XIAOFENG GUO 
XINRONG WANG 
YIFENG JIN",ZHEJIANG HUANGMA TECHNOLOGY CO LTD,CN101928389A,2010-08-24,"C07D301/26 
C07D303/24 
C08G65/00",,2010-12-29,2010-12-29,43367851
217,Adhesive cement composition,"FAN KAIJUAN 
LI CHANGMIN 
LI WENYONG",QINGDAO JIASHANG CREATIVE CULTURE CO LTD,CN104277557A,2014-09-05,C09D7/12,C09D7/63 (CN),2015-01-14,2015-01-14,52252925
218,PRODUCTION OF NOVEL POLYHYDROXYL COMPOUND,"ISODA CHUZO 
MORI SHIGEO",DAI ICHI KOGYO SEIYAKU CO LTD,JPS6134023A,1984-07-25,"C08G65/28 
C08G65/28",,1986-02-18,1986-02-18,15623502
219,AN ADDUCT OF GLYCIDOL AND AN ALKYLPHENOL,BRUSON HERMAN A,OLIN MATHIESON,CA774150A,,,,1967-12-19,1967-12-19,36221434
220,FAT COMPOSITION FOR USE IN INFANT FORMULA,"HORI AMANE [JP] 
NAKAMURA TOSHIHIRO [JP] 
YOSHIDA TAKASHI [JP]",TAIYO YUSHI CORP [JP],WO2016113922A1,2015-01-16,"A23C9/152 
A23C9/18 
A23D9/007 
A23D9/02","A23C9/152 (EP) 
A23C9/18 (EP) 
A23D9/007 (EP) 
A23D9/02 (EP)",2016-07-21,2016-07-21,56405481
221,Preparation method of Rivaroxaban midbody and novel synthetic method of Rivaroxaban,"HUANG GUOJUN 
HUANG WEIPING 
JIANG HUIGANG 
XU HONGCAI",JIANGXI SYNERGY PHARMACEUTICAL CO LTD,CN103145698A,2013-03-01,"C07D405/06 
C07D413/14",,2013-06-12,2013-06-12,48544076
222,LINEAR POLYESTER AND SEMI-LINEAR GLYCIDOL POLYMER SYSTEMS: FORMULATION AND SYNTHESIS OF NOVEL MONOMERS AND MACROMOLECULAR STRUCTURES,"BEEZER DAIN B [US] 
HARTH EVA M [US] 
LI GUANGZHAO [US] 
SPEARS BENJAMIN R [US] 
STEVENS DAVID M [US]",UNIV VANDERBILT [US],US2014005278A1,2012-06-15,"A61K47/32 
A61K47/34 
A61K9/00 
A61K9/50 
C08G65/22","A61K47/32 (EP,US) 
A61K47/34 (EP,US) 
A61K9/0019 (EP,US) 
A61K9/5031 (EP,US) 
C08G64/42 (US) 
C08G65/00 (US) 
C08G65/002 (US) 
C08G65/22 (US) 
C08G65/2615 (US) 
C08G65/3326 (US) 
C08G65/3348 (US) 
C08G65/34 (US)",2014-01-02,2014-01-02,49778767
223,PRODUCTION OF GLYCIDYL METHACRYLATE,"HATASAKI YUKI 
HORIUCHI MASATO 
KARASAWA MINATO 
KOUNO TOSHIYUKI",MITSUI TOATSU CHEMICALS,JPS5585575A,1978-12-23,"C07D301/30 
C07D303/16 
C07D301/30 
C07D303/16",,1980-06-27,1980-06-27,15735521
224,METHOD OF PREPARING VINYLOXYETHYL ETHER OF GLYCIDOL,"GRIGORENKO VLADIMIR 
ISTOMINA SVETLANA N 
KRUGLOV VLADIMIR V 
MAKSIMOV SERGEJ M 
NEDOLYA NINA A 
PETROV GENNADIJ N 
RAPPOPORT LEONID YA 
TROFIMOV BORIS A 
VORONKOV MIKHAIL G 
VYALYKH EVGENIYA P 
YAKUBOV RENAT D",IR INST ORGANICHESKOI [SU],SU602501A1,1976-05-11,"C07D301/28 
C07D303/28 
C07D303/28 
C07D301/28",,1978-04-15,1978-04-15,20660511
225,PRODUCTION OF GLYCIDOL ESTER UNSATURATED MONOMER,"OKITSU KIYOSHI 
OMORI HIDETOSHI",DAICEL CHEM,JPH0729981B2,1985-09-24,"C07C69/26 
C07C69/533 
C07C69/26 
C07C69/533",,1987-03-31,1987-03-31,16591068
226,Method for obtaining allyl glycidol ether,"DREWNOWSKA EWA [PL] 
WR�BLEWSKA AGNIESZKA [PL]","ZACHODNIOPOMORSKI UNIV TECH W SZCZECINIE [PL] 
ZACHODNIOPOMORSKI UNIV TECHNOLOGICZNY W SZCZECINIE [PL]",PL228751B1,2015-08-24,"B01J21/06 
C07D301/19 
C07D303/04",,2017-02-27,2017-02-27,58092016
227,FAT COMPOSITION FOR USE IN INFANT FORMULA,"HORI AMANE [JP] 
NAKAMURA TOSHIHIRO [JP] 
YOSHIDA TAKASHI [JP]",TAIYO YUSHI CORP [JP],WO2018043701A1,2016-09-02,"A23C9/152 
A23D9/00 
A23D9/02","A23C9/152 (EP) 
A23D9/00 (EP) 
A23D9/02 (EP)",2018-03-08,2018-03-08,61300985
228,PROCESS FOR THE RECOVERY OF A WATER-INSOLUBLE EPOXY ALCOHOL,"SHUM WILFRED P [US] 
SOWA CHRISTOPHER J [US] 
SHUM WILFRED PRO-SUM [US]",ARCO CHEM TECH [US],CA2025746A1,1989-10-13,"B01D3/10 
C07D301/32 
C07D303/14 
B01D3/10 
C07D301/32 
C07D303/14","B01D3/10 (EP) 
C07D301/32 (EP) 
C07D303/14 (EP) 
Y10S159/16 (EP) 
Y10S159/23 (EP)",1991-04-14,1990-06-19,23668130
229,"IMMUNOLOGICAL-COMPETENCE ACTIVATOR, WATER-SOLUBLE PARAMYLON AND ITS PRODUCTION","KONDO YOSHIKAZU 
OCHI HIROTOMO 
TAKEUCHI MASAO",NIKKEN FOOD KK,JP3216056B2,1992-06-19,"C08B37/00 
C08B37/00",,1994-03-08,1994-03-08,26379907
230,Method for obtaining allyl glycidol ether,"MAKUCH EDYTA [PL] 
SOKALSKA EWA [PL] 
WR�BLEWSKA AGNIESZKA [PL]","ZACHODNIOPOMORSKI UNIV T W SZCZECINIE [PL] 
ZACHODNIOPOMORSKI UNIV TECHNOLOGICZNY W SZCZECINIE [PL]",PL227300B1,2014-07-16,"B01J21/06 
C07B41/04 
C07D301/12 
C07D303/02",,2016-01-18,2016-01-18,55072312
231,ANTIMICROBIAL AGENT,"KATSUYAMA TAKESHI 
MATSUOKA KANJUN 
TAIRA NORIHISA 
YOSHIOKA MASATO",SEIWA KASEI CO LTD,JP2015003894A,2013-06-24,"A01N43/08 
A01P3/00 
A61K31/375 
A61K8/67 
A61P17/00 
A61P17/10 
A61P31/04 
A61Q19/00",,2015-01-08,2015-01-08,52300088
232,Method for obtaining allyl glycidol ether,"DREWNOWSKA EWA [PL] 
GAWARECKA ALICJA [PL] 
WALASEK MARIKA [PL] 
WR�BLEWSKA AGNIESZKA [PL]","ZACHODNIOPOMORSKI UNIV TECH W SZCZECINIE [PL] 
ZACHODNIOPOMORSKI UNIV TECHNOLOGICZNY W SZCZECINIE [PL]",PL228271B1,2015-05-12,"B01J21/06 
C07B41/04 
C07D301/12 
C07D303/02",,2016-11-21,2016-11-21,57287941
233,The manner of extraction of glycidol,"MILCHERT EUGENIUSZ [PL] 
WROBLEWSKA AGNIESZKA [PL]","ZACHODNIOPOMORSKI UNIV T W SZC [PL] 
ZACHODNIOPOMORSKI UNIV T W SZCZECINIE [PL]",PL210313B1,2007-02-26,"C07C29/80 
C07C35/04 
C07D301/32 
C07D303/14",,2008-09-01,2008-09-01,43036026
234,METHOD FOR PRODUCING PURIFIED GLYCERIDE COMPOSITION,"HIDAKA ICHIRO 
HIRAI HIROSHI 
ISHIHARA SHOTA",NISSHIN OILLIO GROUP LTD,JP2013203768A,2012-03-27,"A23D9/04 
B01D15/00 
B01J20/20 
C11B3/10","B01D15/00 (EP) 
B01J20/0259 (EP) 
B01J20/20 (EP) 
B01J20/3085 (EP) 
C11B3/04 (EP) 
C11B3/10 (EP) 
C11B3/12 (EP)",2013-10-07,2013-10-01,49259094
235,DETERGENT COMPOSITION CONTAINING FATTY ACID POLYGLYCERIDE,ISHITOBI MASAHIKO,MITSUBISHI CHEM CORP,JP2004285100A,2003-03-19,"A61K7/075 
A61K7/50 
C11D1/68 
C11D17/08 
A61K8/00 
A61K8/34 
A61K8/36 
A61K8/37 
A61K8/49 
A61Q19/10 
A61Q5/02 
C11D1/68 
C11D17/08",,2004-10-14,2004-10-14,33291040
236,PREPARATION OF GLYCERIDE ESTERS,LOK CORNELIS M,UNILEVER LTD,CA1147344A,1978-09-19,"C11C3/04 
B01J31/00 
C07B61/00 
C07C67/26 
C07C69/30 
C07D301/00 
C07D303/16","C07C67/26 (EP) 
C07C69/30 (EP) 
C07D303/16 (EP)",1983-05-31,1980-03-19,10499773
237,"PRODUCTION OF SUBSTITUTED 1,3-DIOXOLAN-2-ONE DERIVATIBE","INOUE YOSHIHARU 
KAWABATA OSAMU 
TANIMOTO FUMIO 
INOE YOSHIHARU",NEOS KK,JPH0552315B2,1985-11-13,"C07D317/22 
C07D317/36 
C07D317/22 
C07D317/36",,1987-05-26,1987-05-26,17283695
238,No title available,"ISHIKAWA KAZUNORI 
UEDA CHIAKI",YOKOHAMA RUBBER CO LTD,JPH05294949A,1992-04-16,"C07D301/00 
C07D303/16 
C07D301/00 
C07D303/16",,1993-11-09,1993-11-09,14170026
239,CROSSLINKED CELLULOSIC MEMBRANES,"AIT-HADDOU HASSAN [US] 
HAMBARSOOMIAN SHANT M [US] 
ONYEMAUWA FRANK OKEZIE [US] 
SPIELMAN LAUREN A [US] 
XIAO LIXIANG [US]",PALL CORP [US],EP2985071A1,2014-06-30,"B01D69/02 
B01D71/08 
B01D71/10 
B01D71/12 
B01D71/52 
B01D71/68 
B01D71/80","B01D61/145 (US) 
B01D69/02 (EP) 
B01D71/08 (EP) 
B01D71/10 (EP) 
B01D71/12 (EP,US) 
B01D71/16 (US) 
B01D71/20 (US) 
B01D71/22 (US) 
B01D71/52 (EP,US) 
B01D71/68 (EP,US) 
B01D71/80 (EP,US) 
B29C39/14 (US) 
C08B15/005 (US) 
C08J9/34 (US) 
B01D2323/02 (EP) 
B01D2323/12 (EP) 
B01D2323/18 (EP) 
B01D2325/36 (EP) 
B29K2001/00 (US) 
B29L2031/755 (US) 
C08J2301/00 (US)",2016-02-17,2015-12-31,54011945
240,METHOD OF PRODUCING SULFONIC ACID-CONTAINING DIOL COMPOUND,"KOTO YUICHI 
SHIKITA SHOJI",UBE INDUSTRIES,JP2013136522A,2011-12-28,"C07C303/02 
C07C309/08 
C07B61/00",,2013-07-11,2013-07-11,48912606
241,THERMOSETTING RESIN COMPOSITION,"MATSUMOTO SHIRUYOSHI 
NAKAMOTO HIDEO",MITSUBISHI RAYON CO,JPS58145723A,1982-02-24,"C08G18/30 
C08G59/20 
C08G18/00 
C08G18/30 
C08G18/32 
C08G59/00 
C08G59/20 
C08G59/28",,1983-08-30,1983-08-30,12219323
242,PRODUCTION OF SUGAR PHOSPHATE,"IMAMURA TAKASHI 
KUROSAKI TOMIHIRO 
YAMAKI KAZUHIRO",KAO CORP,JPH0469637B2,1984-12-12,"C07H11/04 
C07H11/04",Y02P20/55 (EP),1986-06-27,1986-06-27,17376558
243,Intermediates and colorants having primary hydroxyl enriched poly(oxyalkylene) moieties and their preparation.,"KLUGER EDWARD WILLIAM [US] 
MOODY DAVID JESSE [US] 
REKERS JOHN WILLIAM [US]",MILLIKEN RES CORP [US],EP0437105A1,1990-01-08,"C08G65/28 
C09B69/10 
C07D303/18 
C07D303/36 
C07D405/12 
C07D405/14 
C07D409/12 
C07D413/14 
C07D417/12 
C07D417/14 
C07D455/04 
C08G18/48 
C08G65/26 
C08G65/32 
C08L71/02 
C09B23/00 
C09B29/085 
C09B29/09 
C09B29/36 
C09B29/44 
C09B31/043 
C09B44/10 
C09B44/12 
C09B44/14 
C09B44/18 
C09B44/20 
C09B57/00 
C09B69/00","C08G65/2627 (EP) 
C09B69/00 (EP)",1991-07-17,1991-07-17,27040154
244,METHOD FOR PRODUCTION OF POLYMERIC MATERIALS WITH REFRACTIVE INDEX GRADIENT FOR LIGHT FOCUSING ELEMENTS,"AMIROVA L M [RU] 
ANDRIANOVA K A [RU] 
FOMIN V P [RU] 
GANIEV M M [RU] 
MAKAEVA R KH [RU]",,RU2002122619A,2002-08-22,"B29D11/00 
B29D11/00",,2004-03-27,2004-01-27,32091597
245,Organic materials containing poly(oxyalkylene) moieties having enhanced functionality and their preparation,"KLUGER EDWARD W [US] 
MOODY DAVID J [US]",MILLIKEN RES CORP [US],US5082938A,1990-03-01,"C07C211/46 
C07C217/28 
C08G65/26 
C09B69/00","C08G65/2627 (EP) 
C09B69/00 (EP)",1992-01-21,1992-01-21,23933960
246,Synthesis method of L-alpha-glycerophosphoryl choline,"GANG LI 
PENG LIU 
SHIBING YU 
YING ZHANG 
YUZHENG ZHU",JINAN KANGHE TECHNOLOGY CO LTD,CN102617633A,2012-03-01,C07F9/09,,2012-08-01,2012-08-01,46557885
247,PREPARATION OF ISOCYANATE ADDITION REACTION PRODUCT,YOSHIDA MICHIO,YOSHIDA MICHIO,JPS56115781A,1980-11-13,"C07D301/00 
C07D301/00",,1981-09-11,1981-09-11,15708576
248,MANUFACTURING METHOD OF MODIFIED OIL AND FAT COMPOSITION,"NAKAMURA TOSHIHIRO 
SAKAGUCHI KEIJI","KANEKA CORP 
TAIYO OIL & FAT MFG",JP2012136655A,2010-12-27,"A23D9/02 
C11B3/10 
C11B3/14 
C11C3/10",,2012-07-19,2012-07-19,46674335
249,Fluorinated polymer and use thereof in the preparation of hydrophilic membranes,"AIT-HADDOU HASSAN 
ONYEMAUWA FRANK OKEZIE",PALL CORP,CN105218805A,2014-06-30,"C08G65/48 
C08J7/04","B01D67/0093 (EP,US) 
B01D71/32 (EP,US) 
B01D71/66 (US) 
C08G65/14 (EP,US) 
C08G65/22 (EP,US) 
C08G65/2636 (EP,US) 
C08G65/2639 (EP,US) 
C08G75/00 (US) 
B01D2323/02 (EP,US) 
B01D2325/36 (EP,US) 
C08G2650/54 (EP,US)",2016-01-06,2015-12-31,53433134
250,PROTECTIVE GEL FOR THE HANDS,BODASINSKI JACEK [PL],PFLEGER BEATA [AT],WO8605975A1,1985-04-11,"A61K7/40 
A61K7/48 
A61K8/64 
A61Q17/00","A61K8/64 (EP) 
A61Q17/005 (EP)",1986-10-23,1986-10-21,20026151
251,PROCESS FOR CORSS-LINKING PHOTOGRAPHIC GELATINE LAYERS,,AGFA GEVAERT AG,GB1308871A,1970-07-25,"C07D1/18 
G03C1/30 
C07D303/16 
C07D303/24 
G03C1/30","C07D303/16 (EP) 
C07D303/24 (EP) 
G03C1/306 (EP)",1973-03-07,1972-01-10,5777889
252,CONDENSATION PRODUCT OF GLYCIDOL AND PREPARATION PROCESS,"GAZRIGHIAN RAPHAEEL 
ZORAYAN VAHAN",OREAL,CA1092610A,1975-10-23,"A61K7/00 
C07C103/38 
C07C103/60 
A61K 
C07C 
C08G 
C11D 
B01F17/00 
B01F17/22 
B01F17/46 
C07C231/00 
C07C231/02 
C07C233/16 
C08G65/28 
C11D1/52 
C11D1/72 
C11D1/722 
C11D3/32","A61K8/45 (EP) 
A61Q19/10 (EP) 
A61Q5/02 (EP)",1980-12-30,1977-04-22,19728086
253,Isotactic poly(glycidyl nitrate) and synthesis thereof,"DAY ROBERT S [US] 
STERN ALFRED G [US] 
WILLER RODNEY L [US]",THIOKOL CORP [US],US5264596A,1990-11-05,"C07D301/00 
C07D303/36 
C08G65/10 
C07D303/16 
C08G65/22 
C08G65/28","C07D303/16 (EP) 
C08G65/22 (EP)",1993-11-23,1993-11-23,27085981
254,Isotactic poly(glycidyl nitrate) and synthesis thereof.,"DAY ROBERT S [US] 
STERN ALFRED G [US] 
WILLER RODNEY L [US]",THIOKOL CORP [US],EP0485099A1,1990-11-05,"C07D303/16 
C08G65/22 
C08G65/28 
C07D303/16 
C08G65/22 
C08G65/28","C07D303/16 (EP) 
C08G65/22 (EP)",1992-05-13,1992-05-13,24439753
255,Novel method for preparing esmolol hydrochloride optical isomer,"AIXIA HAN 
LU ZHANG 
MINGSHENG FENG 
QIZHENG YAO 
TAO NI 
WENYAN ZHENG 
XIAOMIN YAO 
YILAN MAO 
YUPING CAO",NANJING HICIN PHARMACEUTICAL CO LTD,CN101891636A,2009-05-21,"C07C213/08 
C07C217/36",,2010-11-24,2010-11-24,43101013
256,METHOD FOR PRODUCING GLYCEROL CARBONATE,"OKUTSU TAKAHISA 
SASA TOMOAKI 
UNO MITSURU",KAO CORP,JP2009067689A,2007-09-11,"C07D301/02 
C07D303/14 
C07D317/36 
C07B61/00",,2009-04-02,2009-04-02,40604341
257,STORAGE STABILITY OF DIPHENYLMETHANE DIISOCYANATES,,ICI LTD,GB1465014A,1976-02-17,"C07C119/048 
C07C265/12","C07C263/18 (EP) 
C07C265/14 (EP) 
C07C263/18, C07C265/14, INV (EP)      ",1977-02-16,1977-02-16,10091725
258,METHOD FOR PRODUCING POLYGLYCERYL GROUP-CONTAINING (METH)ACRYLATE COMPOUND,HAYASHI YOSHIHIRO,NOF CORP,JP2014224069A,2013-05-16,"C07C67/29 
C07C69/54",,2014-12-04,2014-12-04,52123058
259,DECOLORING OF GLYCIDYL METHACRYLATE,"MATSUNAMI TOSHIKATSU 
YOKOTA SHIGERU",DAICEL CHEM,JPH07165619A,1993-12-13,"C07B63/04 
C07D301/00 
C07D303/16 
C07B63/04 
C07D301/00 
C07D303/16",,1995-06-27,1995-06-27,18020180
260,Process for preparing epoxy resin,"ARITA KAZUO [JP] 
OGURA ICHIRO [JP]",DAINIPPON INK & CHEMICALS [JP],US2003073802A1,2001-09-28,"C08G59/68 
C08G56/08 
C08G59/06 
C08G8/28 
C08G59/00 
C08G59/06","C08G59/00 (EP) 
C08G59/063 (EP)",2003-04-17,2003-04-02,19120484
261,METHOD OF PREPARING RIGID POLYURETHANE FOAM,"IVANOVA S V 
MIKHALKIN V I 
STUPINSKAJA A M",NPP URETANMASH,RU2144545C1,1997-08-07,"C08G101/00 
C08G18/16 
C08G18/48 
C08G18/16 
C08G18/48 
C08G101/00",,2000-01-20,2000-01-20,20196234
262,Process for the preparation of glycidol,"FAJDEK ANNA [PL] 
WOJTOWICZ GRZEGORZ [PL] 
WROBLEWSKA AGNIESZKA [PL]",ZACHODNIOPOMORSKI UNIV T W SZCZECINIE [PL],PL213814B1,2010-03-24,"B01J21/06 
C07B41/04 
C07D301/12 
C07D303/14",,2011-09-26,2011-09-26,44675241
263,AQUEOUS POLYGLYCIDOL SYNTHESIS WITH ULTRA-LOW BRANCHING,"HARTH EVA M [US] 
SPEARS BENJAMIN R [US]",UNIV VANDERBILT [US],US2015210805A1,2014-01-24,"C08F20/32 
C08G65/34","C08G65/22 (EP,US) 
C08G65/34 (US) 
C08G2650/24 (EP,US) 
C08G2650/38 (US) 
C08G2650/56 (US)",2015-07-30,2015-07-30,53678421
264,Improvements in or relating to Coating Compositions,MACKEY E SCUDDER,GAF CORP [US],GB1174707A,1967-05-26,"C07C305/10 
C08G65/22 
C08G65/326 
G03C1/043 
G03C1/38","C07C305/10 (EP) 
C08G65/22 (EP) 
C08G65/326 (EP) 
G03C1/043 (EP) 
G03C1/38 (EP)",1969-12-17,1968-10-16,26809187
